#  0.1000   0.2800   0.0000    sfrf0 19   zfea1 18  =vg, vs, g0,sfrfile,nsfr,zfefile,nzfe
#  0.9627   1.1135  = y, yox 
#  t       sfr      zfe      dg       dstar    star    s        g        zmean    zfe*g    dgox     gox      zox      zmeanox
  0.6750   0.7519   0.9067  -0.0973   0.4099   0.5658   0.8232   0.2714   0.6635   0.2462   0.0723   0.2237   0.9639   0.8515
  0.6771   0.7487   0.9077  -0.0982   0.4082   0.5667   0.8247   0.2712   0.6640   0.2463   0.0714   0.2238   0.9643   0.8517
  0.6792   0.7455   0.9087  -0.0989   0.4060   0.5675   0.8263   0.2710   0.6644   0.2464   0.0706   0.2240   0.9647   0.8519
  0.6813   0.7423   0.9097  -0.0997   0.4047   0.5683   0.8278   0.2708   0.6649   0.2465   0.0697   0.2241   0.9651   0.8521
  0.6833   0.7391   0.9107  -0.1005   0.4023   0.5692   0.8294   0.2706   0.6654   0.2466   0.0689   0.2243   0.9655   0.8523
  0.6854   0.7359   0.9117  -0.1013   0.4008   0.5700   0.8309   0.2704   0.6658   0.2467   0.0681   0.2244   0.9659   0.8525
  0.6875   0.7327   0.9127  -0.1020   0.3988   0.5708   0.8324   0.2702   0.6663   0.2467   0.0673   0.2246   0.9663   0.8527
  0.6896   0.7296   0.9137  -0.1028   0.3922   0.5717   0.8340   0.2700   0.6667   0.2468   0.0665   0.2247   0.9667   0.8529
  0.6917   0.7264   0.9147  -0.1035   0.3905   0.5725   0.8355   0.2698   0.6672   0.2469   0.0657   0.2248   0.9671   0.8532
  0.6938   0.7233   0.9157  -0.1043   0.3887   0.5733   0.8370   0.2695   0.6676   0.2470   0.0649   0.2250   0.9675   0.8534
  0.6958   0.7202   0.9167  -0.1050   0.3869   0.5741   0.8385   0.2693   0.6681   0.2470   0.0641   0.2251   0.9679   0.8536
  0.6979   0.7171   0.9177  -0.1057   0.3853   0.5749   0.8400   0.2691   0.6685   0.2471   0.0633   0.2252   0.9683   0.8538
  0.7000   0.7140   0.9187  -0.1064   0.3833   0.5757   0.8415   0.2689   0.6689   0.2472   0.0626   0.2254   0.9687   0.8540
  0.7021   0.7109   0.9197  -0.1070   0.3818   0.5765   0.8429   0.2687   0.6694   0.2472   0.0618   0.2255   0.9691   0.8542
  0.7042   0.7078   0.9207  -0.1008   0.3799   0.5773   0.8444   0.2684   0.6698   0.2473   0.0632   0.2256   0.9695   0.8544
  0.7063   0.7047   0.9216  -0.1014   0.3782   0.5781   0.8459   0.2682   0.6703   0.2473   0.0625   0.2258   0.9698   0.8546
  0.7083   0.7017   0.9226  -0.1090   0.3760   0.5789   0.8473   0.2680   0.6707   0.2474   0.0595   0.2259   0.9702   0.8548
  0.7104   0.6986   0.9236  -0.1097   0.3748   0.5796   0.8488   0.2678   0.6711   0.2475   0.0588   0.2260   0.9706   0.8550
  0.7125   0.6956   0.9246  -0.1103   0.3697   0.5804   0.8502   0.2675   0.6716   0.2475   0.0580   0.2261   0.9710   0.8552
  0.7146   0.6926   0.9256  -0.1040   0.3671   0.5812   0.8517   0.2673   0.6720   0.2476   0.0595   0.2263   0.9714   0.8554
  0.7167   0.6896   0.9265  -0.1046   0.3650   0.5819   0.8531   0.2671   0.6724   0.2476   0.0588   0.2264   0.9718   0.8556
  0.7188   0.6866   0.9275  -0.1122   0.3633   0.5827   0.8546   0.2669   0.6728   0.2477   0.0558   0.2265   0.9722   0.8558
  0.7208   0.6836   0.9285  -0.1127   0.3617   0.5834   0.8560   0.2666   0.6733   0.2477   0.0551   0.2266   0.9726   0.8560
  0.7229   0.6806   0.9295  -0.1065   0.3597   0.5842   0.8574   0.2664   0.6737   0.2478   0.0566   0.2267   0.9730   0.8561
  0.7250   0.6777   0.9304  -0.1070   0.3583   0.5849   0.8588   0.2662   0.6741   0.2478   0.0559   0.2268   0.9733   0.8563
  0.7271   0.6747   0.9314  -0.1145   0.3565   0.5857   0.8602   0.2660   0.6745   0.2478   0.0530   0.2270   0.9737   0.8565
  0.7292   0.6718   0.9324  -0.1082   0.3551   0.5864   0.8616   0.2657   0.6750   0.2479   0.0545   0.2271   0.9741   0.8567
  0.7313   0.6688   0.9333  -0.1087   0.3529   0.5872   0.8630   0.2655   0.6754   0.2479   0.0538   0.2272   0.9744   0.8569
  0.7333   0.6659   0.9343  -0.1161   0.3517   0.5879   0.8644   0.2653   0.6758   0.2480   0.0509   0.2273   0.9748   0.8571
  0.7354   0.6630   0.9353  -0.1099   0.3501   0.5886   0.8658   0.2650   0.6762   0.2480   0.0525   0.2274   0.9752   0.8573
  0.7375   0.6601   0.9362  -0.1104   0.3452   0.5893   0.8672   0.2648   0.6766   0.2480   0.0517   0.2275   0.9756   0.8575
  0.7396   0.6572   0.9372  -0.1109   0.3423   0.5900   0.8685   0.2646   0.6770   0.2481   0.0511   0.2276   0.9760   0.8577
  0.7417   0.6544   0.9381  -0.1114   0.3405   0.5908   0.8699   0.2643   0.6774   0.2481   0.0504   0.2277   0.9763   0.8579
  0.7438   0.6515   0.9391  -0.1120   0.3389   0.5915   0.8712   0.2641   0.6778   0.2481   0.0498   0.2278   0.9767   0.8580
  0.7458   0.6487   0.9400  -0.1124   0.3374   0.5922   0.8726   0.2639   0.6782   0.2482   0.0491   0.2279   0.9771   0.8582
  0.7479   0.6458   0.9410  -0.1197   0.3359   0.5929   0.8739   0.2636   0.6787   0.2482   0.0463   0.2280   0.9775   0.8584
  0.7500   0.6430   0.9420  -0.1135   0.3341   0.5936   0.8753   0.2634   0.6791   0.2482   0.0478   0.2281   0.9778   0.8586
  0.7521   0.6402   0.9429  -0.1139   0.3329   0.5943   0.8766   0.2632   0.6795   0.2483   0.0472   0.2282   0.9782   0.8588
  0.7542   0.6374   0.9439  -0.1144   0.3312   0.5949   0.8779   0.2629   0.6799   0.2483   0.0465   0.2283   0.9786   0.8589
  0.7563   0.6346   0.9448  -0.1082   0.3296   0.5956   0.8793   0.2627   0.6803   0.2483   0.0481   0.2284   0.9789   0.8591
  0.7583   0.6318   0.9457  -0.1153   0.3280   0.5963   0.8806   0.2625   0.6807   0.2483   0.0453   0.2285   0.9793   0.8593
  0.7604   0.6291   0.9467  -0.1158   0.3265   0.5970   0.8819   0.2622   0.6810   0.2484   0.0446   0.2286   0.9797   0.8595
  0.7625   0.6263   0.9476  -0.1162   0.3248   0.5977   0.8832   0.2620   0.6814   0.2484   0.0441   0.2287   0.9800   0.8597
  0.7646   0.6236   0.9486  -0.1166   0.3202   0.5983   0.8845   0.2617   0.6818   0.2484   0.0434   0.2288   0.9804   0.8598
  0.7667   0.6208   0.9495  -0.1170   0.3179   0.5990   0.8858   0.2615   0.6822   0.2484   0.0428   0.2289   0.9808   0.8600
  0.7688   0.6181   0.9505  -0.1175   0.3157   0.5997   0.8871   0.2612   0.6826   0.2484   0.0422   0.2290   0.9811   0.8602
  0.7708   0.6154   0.9514  -0.1113   0.3147   0.6003   0.8884   0.2610   0.6830   0.2484   0.0438   0.2290   0.9815   0.8604
  0.7729   0.6127   0.9523  -0.1183   0.3129   0.6010   0.8896   0.2608   0.6834   0.2485   0.0410   0.2291   0.9818   0.8605
  0.7750   0.6100   0.9533  -0.1187   0.3116   0.6016   0.8909   0.2605   0.6838   0.2485   0.0404   0.2292   0.9822   0.8607
  0.7771   0.6073   0.9542  -0.1125   0.3099   0.6023   0.8922   0.2603   0.6842   0.2485   0.0420   0.2293   0.9826   0.8609
  0.7792   0.6047   0.9551  -0.1194   0.3085   0.6029   0.8934   0.2600   0.6845   0.2485   0.0393   0.2294   0.9829   0.8611
  0.7813   0.6020   0.9561  -0.1198   0.3074   0.6035   0.8947   0.2598   0.6849   0.2485   0.0387   0.2295   0.9833   0.8612
  0.7833   0.5994   0.9570  -0.1137   0.3055   0.6042   0.8959   0.2595   0.6853   0.2485   0.0403   0.2296   0.9837   0.8614
  0.7854   0.5968   0.9579  -0.1140   0.3046   0.6048   0.8972   0.2593   0.6857   0.2485   0.0397   0.2296   0.9840   0.8616
  0.7875   0.5941   0.9588  -0.1209   0.3029   0.6054   0.8984   0.2591   0.6861   0.2485   0.0370   0.2297   0.9843   0.8617
  0.7896   0.5915   0.9598  -0.1213   0.3015   0.6061   0.8996   0.2588   0.6864   0.2485   0.0364   0.2298   0.9847   0.8619
  0.7917   0.5889   0.9607  -0.1151   0.2970   0.6067   0.9009   0.2586   0.6868   0.2485   0.0380   0.2299   0.9851   0.8621
  0.7938   0.5864   0.9616  -0.1155   0.2943   0.6073   0.9021   0.2583   0.6872   0.2485   0.0375   0.2299   0.9854   0.8622
  0.7958   0.5838   0.9625  -0.1158   0.2930   0.6079   0.9033   0.2581   0.6875   0.2485   0.0369   0.2300   0.9858   0.8624
  0.7979   0.5812   0.9634  -0.1226   0.2913   0.6085   0.9045   0.2578   0.6879   0.2485   0.0342   0.2301   0.9861   0.8626
  0.8000   0.5787   0.9644  -0.1229   0.2903   0.6091   0.9057   0.2576   0.6883   0.2485   0.0337   0.2302   0.9865   0.8627
  0.8021   0.5761   0.9653  -0.1168   0.2888   0.6097   0.9069   0.2573   0.6886   0.2485   0.0353   0.2302   0.9868   0.8629
  0.8042   0.5736   0.9662  -0.1171   0.2872   0.6103   0.9081   0.2571   0.6890   0.2485   0.0348   0.2303   0.9872   0.8631
  0.8063   0.5711   0.9671  -0.1174   0.2863   0.6109   0.9093   0.2568   0.6894   0.2485   0.0342   0.2304   0.9875   0.8632
  0.8083   0.5686   0.9680  -0.1177   0.2846   0.6115   0.9105   0.2566   0.6897   0.2485   0.0337   0.2305   0.9879   0.8634
  0.8104   0.5661   0.9689  -0.1180   0.2836   0.6121   0.9117   0.2563   0.6901   0.2485   0.0332   0.2305   0.9882   0.8636
  0.8125   0.5636   0.9698  -0.1183   0.2821   0.6127   0.9129   0.2561   0.6905   0.2485   0.0327   0.2306   0.9886   0.8637
  0.8146   0.5611   0.9707  -0.1249   0.2804   0.6133   0.9140   0.2558   0.6908   0.2485   0.0301   0.2307   0.9889   0.8639
  0.8167   0.5586   0.9717  -0.1252   0.2795   0.6139   0.9152   0.2556   0.6912   0.2485   0.0295   0.2307   0.9893   0.8640
  0.8188   0.5562   0.9726  -0.1191   0.2782   0.6144   0.9163   0.2553   0.6915   0.2484   0.0312   0.2308   0.9896   0.8642
  0.8208   0.5538   0.9735  -0.1194   0.2740   0.6150   0.9175   0.2551   0.6919   0.2484   0.0307   0.2308   0.9900   0.8644
  0.8229   0.5513   0.9744  -0.1197   0.2710   0.6156   0.9186   0.2548   0.6922   0.2484   0.0302   0.2309   0.9903   0.8645
  0.8250   0.5489   0.9753  -0.1200   0.2700   0.6161   0.9198   0.2546   0.6926   0.2484   0.0297   0.2310   0.9907   0.8647
  0.8271   0.5465   0.9762  -0.1202   0.2687   0.6167   0.9209   0.2543   0.6929   0.2484   0.0292   0.2310   0.9910   0.8648
  0.8292   0.5441   0.9771  -0.1204   0.2673   0.6173   0.9221   0.2541   0.6933   0.2484   0.0287   0.2311   0.9914   0.8650
  0.8313   0.5417   0.9780  -0.1206   0.2661   0.6178   0.9232   0.2538   0.6936   0.2484   0.0283   0.2311   0.9917   0.8651
  0.8333   0.5393   0.9789  -0.1209   0.2648   0.6184   0.9243   0.2536   0.6940   0.2483   0.0278   0.2312   0.9920   0.8653
  0.8354   0.5370   0.9798  -0.1149   0.2636   0.6189   0.9254   0.2533   0.6943   0.2483   0.0295   0.2313   0.9924   0.8654
  0.8375   0.5346   0.9806  -0.1151   0.2623   0.6195   0.9265   0.2531   0.6947   0.2483   0.0290   0.2313   0.9927   0.8656
  0.8396   0.5323   0.9815  -0.1216   0.2613   0.6200   0.9277   0.2528   0.6950   0.2483   0.0264   0.2314   0.9930   0.8658
  0.8417   0.5299   0.9824  -0.1218   0.2599   0.6205   0.9288   0.2526   0.6954   0.2483   0.0259   0.2314   0.9934   0.8659
  0.8438   0.5276   0.9833  -0.1220   0.2588   0.6211   0.9299   0.2523   0.6957   0.2482   0.0254   0.2315   0.9937   0.8661
  0.8458   0.5253   0.9842  -0.1222   0.2574   0.6216   0.9310   0.2521   0.6960   0.2482   0.0250   0.2315   0.9940   0.8662
  0.8479   0.5230   0.9851  -0.1224   0.2563   0.6222   0.9320   0.2518   0.6964   0.2482   0.0245   0.2316   0.9944   0.8664
  0.8500   0.5207   0.9860  -0.1226   0.2522   0.6227   0.9331   0.2516   0.6967   0.2482   0.0241   0.2316   0.9947   0.8665
  0.8521   0.5184   0.9869  -0.1167   0.2497   0.6232   0.9342   0.2513   0.6971   0.2481   0.0258   0.2317   0.9951   0.8667
  0.8542   0.5161   0.9877  -0.1168   0.2486   0.6237   0.9353   0.2511   0.6974   0.2481   0.0254   0.2317   0.9954   0.8668
  0.8563   0.5139   0.9886  -0.1231   0.2473   0.6242   0.9364   0.2508   0.6977   0.2481   0.0228   0.2318   0.9957   0.8669
  0.8583   0.5116   0.9895  -0.1233   0.2462   0.6247   0.9374   0.2506   0.6981   0.2481   0.0224   0.2318   0.9960   0.8671
  0.8604   0.5094   0.9904  -0.1235   0.2450   0.6253   0.9385   0.2503   0.6984   0.2480   0.0219   0.2319   0.9964   0.8672
  0.8625   0.5072   0.9913  -0.1176   0.2442   0.6258   0.9395   0.2501   0.6987   0.2480   0.0236   0.2319   0.9967   0.8674
  0.8646   0.5049   0.9921  -0.1177   0.2425   0.6263   0.9406   0.2498   0.6990   0.2480   0.0232   0.2320   0.9970   0.8675
  0.8667   0.5027   0.9930  -0.1240   0.2417   0.6268   0.9416   0.2496   0.6994   0.2479   0.0207   0.2320   0.9974   0.8677
  0.8688   0.5005   0.9939  -0.1241   0.2404   0.6273   0.9427   0.2493   0.6997   0.2479   0.0203   0.2321   0.9977   0.8678
  0.8708   0.4983   0.9948  -0.1183   0.2397   0.6278   0.9437   0.2491   0.7000   0.2479   0.0219   0.2321   0.9980   0.8680
  0.8729   0.4961   0.9956  -0.1184   0.2384   0.6283   0.9448   0.2488   0.7003   0.2478   0.0216   0.2322   0.9983   0.8681
  0.8750   0.4940   0.9965  -0.1246   0.2371   0.6288   0.9458   0.2486   0.7007   0.2478   0.0190   0.2322   0.9987   0.8682
  0.8771   0.4918   0.9974  -0.1247   0.2357   0.6293   0.9468   0.2483   0.7010   0.2478   0.0186   0.2322   0.9990   0.8684
  0.8792   0.4897   0.9983  -0.1189   0.2355   0.6297   0.9478   0.2480   0.7013   0.2477   0.0203   0.2323   0.9994   0.8685
  0.8813   0.4875   0.9991  -0.1190   0.2309   0.6302   0.9488   0.2478   0.7016   0.2477   0.0199   0.2323   0.9997   0.8687
  0.8833   0.4854   1.0000  -0.1311   0.2286   0.6307   0.9499   0.2475   0.7019   0.2476   0.0153   0.2324   1.0000   0.8688
  0.8854   0.4833   1.0010  -0.1371   0.2277   0.6312   0.9509   0.2472   0.7023   0.2476   0.0129   0.2324   1.0004   0.8689
  0.8875   0.4812   1.0020  -0.1373   0.2261   0.6316   0.9519   0.2470   0.7026   0.2476   0.0124   0.2324   1.0007   0.8691
  0.8896   0.4791   1.0030  -0.0784   0.2256   0.6321   0.9529   0.2468   0.7029   0.2475   0.0329   0.2325   1.0011   0.8692
  0.8917   0.4770   1.0030  -0.0782   0.2245   0.6326   0.9539   0.2466   0.7032   0.2475   0.0327   0.2325   1.0011   0.8694
  0.8938   0.4749   1.0040  -0.1374   0.2230   0.6331   0.9548   0.2463   0.7035   0.2474   0.0114   0.2326   1.0015   0.8695
  0.8958   0.4728   1.0050  -0.1375   0.2225   0.6335   0.9558   0.2461   0.7038   0.2474   0.0110   0.2326   1.0019   0.8696
  0.8979   0.4708   1.0060  -0.1376   0.2213   0.6340   0.9568   0.2458   0.7041   0.2474   0.0106   0.2326   1.0022   0.8698
  0.9000   0.4687   1.0070  -0.1377   0.2200   0.6344   0.9578   0.2455   0.7044   0.2473   0.0102   0.2326   1.0026   0.8699
  0.9021   0.4667   1.0080  -0.1378   0.2194   0.6349   0.9588   0.2452   0.7047   0.2473   0.0099   0.2327   1.0030   0.8700
  0.9042   0.4646   1.0090  -0.0797   0.2180   0.6353   0.9597   0.2450   0.7051   0.2472   0.0302   0.2327   1.0034   0.8702
  0.9063   0.4626   1.0090  -0.0795   0.2174   0.6358   0.9607   0.2449   0.7054   0.2472   0.0300   0.2328   1.0034   0.8703
  0.9083   0.4606   1.0100  -0.1379   0.2161   0.6362   0.9616   0.2446   0.7057   0.2471   0.0089   0.2328   1.0037   0.8704
  0.9104   0.4586   1.0110  -0.1380   0.2153   0.6367   0.9626   0.2443   0.7060   0.2471   0.0085   0.2328   1.0041   0.8706
  0.9125   0.4566   1.0120  -0.1381   0.2113   0.6371   0.9636   0.2440   0.7063   0.2470   0.0081   0.2328   1.0045   0.8707
  0.9146   0.4546   1.0130  -0.1382   0.2092   0.6376   0.9645   0.2437   0.7066   0.2470   0.0077   0.2328   1.0049   0.8708
  0.9167   0.4526   1.0140  -0.1382   0.2153   0.6380   0.9654   0.2434   0.7069   0.2470   0.0074   0.2329   1.0052   0.8710
  0.9188   0.4507   1.0150  -0.0808   0.2138   0.6385   0.9664   0.2433   0.7072   0.2469   0.0277   0.2329   1.0056   0.8711
  0.9208   0.4487   1.0150  -0.0806   0.2130   0.6389   0.9673   0.2431   0.7075   0.2469   0.0275   0.2330   1.0056   0.8712
  0.9229   0.4468   1.0160  -0.1382   0.2125   0.6394   0.9682   0.2428   0.7078   0.2468   0.0065   0.2330   1.0060   0.8714
  0.9250   0.4448   1.0170  -0.1383   0.2119   0.6398   0.9692   0.2425   0.7081   0.2468   0.0061   0.2330   1.0063   0.8715
  0.9271   0.4429   1.0180  -0.1384   0.2105   0.6402   0.9701   0.2422   0.7084   0.2467   0.0058   0.2330   1.0067   0.8716
  0.9292   0.4410   1.0190  -0.1384   0.2097   0.6407   0.9710   0.2419   0.7086   0.2467   0.0054   0.2330   1.0071   0.8717
  0.9313   0.4391   1.0200  -0.0816   0.2090   0.6411   0.9719   0.2418   0.7089   0.2466   0.0257   0.2331   1.0075   0.8719
  0.9333   0.4372   1.0200  -0.0814   0.2047   0.6415   0.9728   0.2416   0.7092   0.2465   0.0254   0.2331   1.0075   0.8720
  0.9354   0.4353   1.0210  -0.1384   0.2032   0.6420   0.9737   0.2413   0.7095   0.2465   0.0045   0.2331   1.0078   0.8721
  0.9375   0.4334   1.0220  -0.1385   0.2017   0.6424   0.9747   0.2410   0.7098   0.2464   0.0042   0.2332   1.0082   0.8723
  0.9396   0.4315   1.0230  -0.1385   0.2006   0.6428   0.9756   0.2407   0.7101   0.2464   0.0039   0.2332   1.0086   0.8724
  0.9417   0.4296   1.0240  -0.1385   0.2000   0.6432   0.9764   0.2404   0.7104   0.2463   0.0035   0.2332   1.0089   0.8725
  0.9438   0.4278   1.0250  -0.0823   0.1994   0.6436   0.9773   0.2403   0.7107   0.2463   0.0237   0.2332   1.0093   0.8726
  0.9458   0.4259   1.0250  -0.0821   0.1985   0.6440   0.9782   0.2401   0.7110   0.2462   0.0235   0.2333   1.0093   0.8728
  0.9479   0.4241   1.0260  -0.1385   0.1975   0.6445   0.9791   0.2398   0.7112   0.2462   0.0027   0.2333   1.0097   0.8729
  0.9500   0.4222   1.0270  -0.1384   0.1968   0.6449   0.9800   0.2395   0.7115   0.2461   0.0024   0.2333   1.0100   0.8730
  0.9521   0.4204   1.0280  -0.1385   0.1960   0.6453   0.9809   0.2392   0.7118   0.2461   0.0020   0.2333   1.0104   0.8731
  0.9542   0.4186   1.0290  -0.1385   0.1952   0.6457   0.9817   0.2389   0.7121   0.2460   0.0017   0.2333   1.0108   0.8732
  0.9563   0.4168   1.0300  -0.0829   0.1946   0.6461   0.9826   0.2388   0.7124   0.2459   0.0218   0.2333   1.0111   0.8734
  0.9583   0.4150   1.0300  -0.0827   0.1937   0.6465   0.9835   0.2386   0.7127   0.2459   0.0216   0.2334   1.0111   0.8735
  0.9604   0.4132   1.0310  -0.1384   0.1929   0.6469   0.9843   0.2383   0.7129   0.2458   0.0009   0.2334   1.0115   0.8736
  0.9625   0.4114   1.0320  -0.1384   0.1921   0.6473   0.9852   0.2380   0.7132   0.2458   0.0006   0.2334   1.0119   0.8737
  0.9646   0.4097   1.0330  -0.1385   0.1881   0.6477   0.9860   0.2377   0.7135   0.2457   0.0003   0.2334   1.0122   0.8739
  0.9667   0.4079   1.0340  -0.1384   0.1858   0.6481   0.9869   0.2374   0.7138   0.2456   0.0000   0.2334   1.0126   0.8740
  0.9688   0.4061   1.0350  -0.0834   0.1853   0.6485   0.9877   0.2373   0.7140   0.2456   0.0200   0.2334   1.0130   0.8741
  0.9708   0.4044   1.0350  -0.0833   0.1845   0.6488   0.9886   0.2371   0.7143   0.2455   0.0198   0.2335   1.0130   0.8742
  0.9729   0.4027   1.0360  -0.1383   0.1834   0.6492   0.9894   0.2368   0.7146   0.2455  -0.0008   0.2335   1.0134   0.8743
  0.9750   0.4009   1.0370  -0.1383   0.1830   0.6496   0.9903   0.2365   0.7149   0.2454  -0.0011   0.2335   1.0137   0.8744
  0.9771   0.3992   1.0380  -0.1383   0.1820   0.6500   0.9911   0.2362   0.7151   0.2453  -0.0014   0.2335   1.0141   0.8746
  0.9792   0.3975   1.0390  -0.0838   0.1814   0.6504   0.9919   0.2361   0.7154   0.2453   0.0186   0.2335   1.0145   0.8747
  0.9813   0.3958   1.0390  -0.0836   0.1805   0.6507   0.9927   0.2359   0.7157   0.2452   0.0184   0.2335   1.0145   0.8748
  0.9833   0.3941   1.0400  -0.1381   0.1795   0.6511   0.9936   0.2356   0.7159   0.2451  -0.0021   0.2335   1.0148   0.8749
  0.9854   0.3924   1.0410  -0.1381   0.1795   0.6515   0.9944   0.2353   0.7162   0.2451  -0.0024   0.2335   1.0152   0.8750
  0.9875   0.3907   1.0420  -0.1381   0.1779   0.6519   0.9952   0.2350   0.7165   0.2450  -0.0027   0.2335   1.0155   0.8751
  0.9896   0.3891   1.0430  -0.0840   0.1778   0.6522   0.9960   0.2348   0.7167   0.2449   0.0172   0.2336   1.0159   0.8753
  0.9917   0.3874   1.0430  -0.0838   0.1768   0.6526   0.9968   0.2347   0.7170   0.2449   0.0171   0.2336   1.0159   0.8754
  0.9938   0.3857   1.0440  -0.1379   0.1764   0.6530   0.9976   0.2344   0.7173   0.2448  -0.0034   0.2336   1.0163   0.8755
  0.9958   0.3841   1.0450  -0.1379   0.1725   0.6533   0.9984   0.2341   0.7175   0.2447  -0.0037   0.2336   1.0166   0.8756
  0.9979   0.3824   1.0460  -0.1378   0.1706   0.6537   0.9992   0.2338   0.7178   0.2447  -0.0039   0.2336   1.0170   0.8757
  1.0000   0.3808   1.0470  -0.1111   0.1666   0.6540   1.0000   0.2336   0.7180   0.2446   0.0058   0.2336   1.0174   0.8758
