# clusterName       ra        dec       l         b         r50     nbstars pmra      pmdec     par     d05       d16       dmode     d84       d95       Rgc       distance_Kharchenko logt_Kharchenko rc_Kharchenko rt_Kharchenko FeH_Kharchenko	FeH_synth
  ASCC_73           189.281   -67.203   301.542   -4.37     0.988   68     -11.539   -2.945    1.518   644.0     645.0     646.3     647.8     648.8     8021.7    650.0         8.19          1.48          4.46          ""           	0.09755875
  ASCC_77           212.694   -62.331   311.999   -0.864    0.179   150    -4.243    -3.22     0.842   1142.6    1144.7    1148.2    1151.3    1153.7    7619.7    2041.0        6.75          3.92          13.37         ""           	0.1
  ASCC_79           229.731   -60.798   319.977   -2.905    0.98    129    -2.914    -4.232    1.176   826.8     828.1     829.7     831.4     832.5     7723.8    871.0         6.95          6.99          10.79         ""           	0.1
  ASCC_85           251.853   -45.555   339.815   -0.259    0.357   119    0.17      -4.102    1.119   865.8     867.9     870.7     873.7     875.8     7528.8    806.0         7.5           1.44          5.47          ""           	0.1
  ASCC_87           255.658   -28.421   355.125   8.093     0.347   51     -1.18     -3.814    1.27    763.8     766.2     769.8     773.3     775.8     7580.9    838.0         8.55          3.3           6.74          ""           	0.1
  ASCC_88           256.886   -35.564   350.01    2.973     0.372   144    0.919     -3.282    1.097   883.0     885.1     888.3     891.4     893.8     7468.0    1297.0        7.0           12.33         17.68         ""           	0.1
  ASCC_90           264.777   -34.874   354.224   -1.954    0.388   69     -1.63     -2.681    1.713   571.2     572.4     574.1     575.8     576.9     7769.4    526.0         8.81          ""            ""            ""           	0.1
  ASCC_97           279.263   -19.139   14.25     -5.553    0.14    37     -2.331    -6.508    1.74    561.0     562.8     565.4     568.1     569.9     7795.8    591.0         7.88          1.52          4.96          0.129        	0.1
  ASCC_99           282.17    -18.488   16.07     -7.727    0.643   71     5.188     -1.311    3.367   293.6     293.9     294.4     294.9     295.3     8060.0    679.0         8.75          0.72          4.39          ""           	0.09325
  ASCC_9            41.671    57.743    137.844   -1.753    0.215   88     0.166     -1.099    0.406   2270.5    2282.6    2297.4    2314.9    2325.6    10159.9   2901.0        7.0           4.94          16.06         ""           	-0.14298875
  Alessi_10         301.233   -10.555   31.597    -21.058   0.266   73     1.469     -7.879    2.233   440.2     440.9     442.0     443.2     444.0     7991.6    513.0         8.195         1.06          3.27          ""           	0.1
